,G,Date,Tm,Opp,Result,PTS,Player
54,79,1988-04-19,CHI,NYK,W,47.0,Michael Jordan
55,80,1988-04-21,CHI,BOS,L,39.0,Michael Jordan
56,3,1988-11-08,CHI,NYK,L,31.0,Michael Jordan
57,6,1988-11-12,CHI,NJN,L,42.0,Michael Jordan
58,11,1988-11-23,CHI,LAC,L,26.0,Michael Jordan
59,13,1988-11-29,CHI,GSW,L,26.0,Michael Jordan
60,14,1988-11-30,CHI,UTA,L,33.0,Michael Jordan
61,22,1988-12-17,CHI,MIL,W,36.0,Michael Jordan
62,29,1989-01-05,CHI,CLE,L,32.0,Michael Jordan
63,31,1989-01-10,CHI,ATL,W,48.0,Michael Jordan
64,36,1989-01-19,CHI,MIA,W,34.0,Michael Jordan
65,43,1989-02-03,CHI,HOU,L,29.0,Michael Jordan
66,44,1989-02-05,CHI,DET,L,28.0,Michael Jordan
67,51,1989-02-22,CHI,CHH,W,24.0,Michael Jordan
68,62,1989-03-18,CHI,IND,L,28.0,Michael Jordan
69,65,1989-03-24,CHI,POR,W,34.0,Michael Jordan
70,72,1989-04-06,CHI,DET,L,31.0,Michael Jordan
71,74,1989-04-09,CHI,ATL,L,40.0,Michael Jordan
72,76,1989-04-14,CHI,NJN,L,29.0,Michael Jordan
73,77,1989-04-16,CHI,CLE,L,22.0,Michael Jordan
74,7,1989-11-14,CHI,SAC,W,27.0,Michael Jordan
75,8,1989-11-15,CHI,UTA,L,40.0,Michael Jordan
76,9,1989-11-18,CHI,SEA,L,32.0,Michael Jordan
77,11,1989-11-22,CHI,PHO,W,34.0,Michael Jordan
78,12,1989-11-25,CHI,GSW,W,29.0,Michael Jordan
79,13,1989-11-26,CHI,LAC,L,26.0,Michael Jordan
80,17,1989-12-08,CHI,IND,L,36.0,Michael Jordan
81,24,1989-12-22,CHI,ATL,W,29.0,Michael Jordan
82,25,1989-12-23,CHI,PHI,L,16.0,Michael Jordan
83,31,1990-01-06,CHI,MIL,L,35.0,Michael Jordan
84,32,1990-01-09,CHI,DET,L,16.0,Michael Jordan
85,33,1990-01-10,CHI,IND,L,35.0,Michael Jordan
86,34,1990-01-12,CHI,CHH,W,45.0,Michael Jordan
87,36,1990-01-15,CHI,NYK,L,26.0,Michael Jordan
88,41,1990-01-26,CHI,PHI,L,31.0,Michael Jordan
89,44,1990-02-01,CHI,HOU,L,35.0,Michael Jordan
90,45,1990-02-03,CHI,SAS,L,44.0,Michael Jordan
